original_address,pfid,code,name,cid,google_address,full_name,lat,lng
"2182 Morris Ave, Union, NJ",U050126349,F4000,"Sires, Albio",N00027523,"2182 Morris Avenue, Union, NJ 07083, USA",Rep. Albio Sires (NJ),40.697925,-74.278074
"6800 Fleetwood Rd Unit 513, McLean, VA",A090100012,F4000,"Smith, Lamar",N00001811,"6800 Fleetwood Road #513, McLean, VA 22101, USA",Rep. Lamar Smith (TX),38.9387018,-77.17860309999999
"620 Stonegate Drive S. San Francisco, CA 94080",A100100954,F4000,"Speier, Jackie",N00029649,"620 Stonegate Drive, South San Francisco, CA 94080, USA",Rep. Jackie Speier (CA),37.6648096,-122.4246431
"Ownership of 2140 Finley Road East, Finley, CA",B000682,F4000,"Thompson, Mike",N00007419,"2140 East Finley Road, Finley, CA 95435, USA",Rep. Mike Thompson (CA),39.007088,-122.870183
"107 Serge Street Milesburg, Pennsylvania (Property)",A080089048,F4000,"Thompson, Glenn",N00029736,"107 Serge Street, Bellefonte, PA 16823, USA",Rep. Glenn Thompson (PA),40.9423493,-77.79984189999999
"702 Arbor Street Cortez, CO",A100095696,F4000,"Tipton, Scott",N00027509,"702 Arbor Street, Cortez, CO 81321, USA",Rep. Scott Tipton (CO),37.356872,-108.558609
"455 Shore Road, Chatham MA",A100100289,F4000,"Tsongas, Niki",N00029026,"455 Shore Road, Chatham, MA 02633, USA",Rep. Niki Tsongas (MA),41.6893051,-69.9524957
"84 Woodhull Street Brooklyn, NY 11231",A000061,F4000,"Velazquez, Nydia M",N00001102,"84 Woodhull Street, Brooklyn, NY 11231, USA",Rep. Nydia M Velazquez (NY),40.680705,-74.001695
"701 W. Barstow; Palm Springs, CA",A100089875,F4000,"Waters, Maxine",N00006690,"Palm Springs, CA, USA",Rep. Maxine Waters (CA),33.8302961,-116.5452921
"3400 Old Winter Garden Road, Orlando",A100094655,F4000,"Webster, Daniel",N00026335,"3400 Old Winter Garden Road, Orlando, FL 32805, USA",Rep. Daniel Webster (FL),28.546964,-81.41878
"131 Main Street, Burlington, VT",C110034578,F4000,"Welch, Peter",N00000515,"131 Main Street, Burlington, VT 05401, USA",Rep. Peter Welch (VT),44.475767,-73.213667
"2827 Wilson Road, Springdale, SC",A080044211,F4000,"Wilson, Joe",N00024809,"2827 Wilson Cemetery Road, Springdale, AR 72764, USA",Rep. Joe Wilson (SC),36.208701,-94.0841994
"2393 SW Park Place #305, Portland, OR 97205",B000877,F4000,"Wyden, Ron",N00007724,"2393 Southwest Park Place, Portland, OR 97205, USA",Sen. Ron Wyden (OR),45.5214532,-122.7001904
"6749 Ashington Way, Elle Gac CA",B120035585,F4000,"Bera, Ami",N00030717,"California, USA",Rep. Ami Bera (CA),36.778261,-119.4179324
1570 NW Ferris Ave Lawton OK 73507,D120099853,F4000,"Gabbard, Tulsi",N00033281,"1570 Northwest Ferris Avenue, Lawton, OK 73507, USA",Rep. Tulsi Gabbard (HI),34.6160271,-98.4124697
"612 Haish Blvd De Kalb, IL",D110005587,F4000,"Duckworth, Tammy",N00027860,"612 Haish Boulevard, DeKalb, IL 60115, USA",Rep. Tammy Duckworth (IL),41.925528,-88.757938
"450 N. 4th Street Highlands, NC 28741",D110008277,F4000,"Meadows, Mark R",N00033631,"450 North 4th Street, Highlands, NC 28741, USA",Rep. Mark R Meadows (NC),35.0547911,-83.1965945
"116 Jackson Highlands Jackson, NH",D110006208,F4000,"Kuster, Ann Mclane",N00030875,"Jackson Highlands Road, Jackson, NH 03846, USA",Rep. Ann Mclane Kuster (NH),44.1556547,-71.1622124
"1441 Lincoln Road, Miami Beach, FL",B120041054,F4000,"Maloney, Sean Patrick",N00034277,"1441 Lincoln Road, Miami Beach, FL 33139, USA",Rep. Sean Patrick Maloney (NY),25.790658,-80.144494
493 Parkwood Av. Col OH,D110008622,,"Beatty, Joyce",N00033904,"493 Parkwood Avenue, Columbus, OH 43203, USA",Rep. Joyce Beatty (OH),39.97738,-82.9601394
30339 Diamond Pkwy St 105 Cleveland Ohio,B120041439,,"Joyce, David P",N00035007,"Diamond Avenue, Cleveland, OH 44104, USA",Rep. David P Joyce (OH),41.4836643,-81.6495533
"2711 Douglas Avenue, Racine Wisconsin",B120043682,Y0000,"Dold, Robert",N00031103,"2711 Douglas Avenue, Racine, WI 53402, USA",Rep. Robert Dold (IL),42.753344,-87.798114
"172 Youville St Manchester, NH 03109",A100102125,F4000,"Guinta, Frank",N00030801,"172 Youville Street, Manchester, NH 03102, USA",Rep. Frank Guinta (NH),42.9970284,-71.48289609999999
